id;title;author;authorId;description;img;longitude;latitude;begin;ending;category;subcategories
894;Taller Teatro en inglés;DemoEM;894;;;-3.6958072892892155;40.391054868587204;2021-10-06T00:00:00.0Z;2021-12-22T23:59:00.0Z;Leisure;None
895;Taller 'El jardín de los sentidos';DemoEM;895;;;-3.6793290785184363;40.40911512464532;2021-11-13T16:30:00.0Z;2021-11-13T23:59:00.0Z;Leisure;None
896;Taller 'El jardín de los sentidos';DemoEM;896;;;-3.6793290785184363;40.40911512464532;2021-11-27T16:30:00.0Z;2021-11-27T23:59:00.0Z;Leisure;None
897;Taller '¿De dónde vienen los alimentos?';DemoEM;897;;;-3.6793290785184363;40.40911512464532;2021-11-20T16:30:00.0Z;2021-11-20T23:59:00.0Z;Leisure;None
898;Talleres de escritura;DemoEM;898;;;0;0;2021-02-01T00:00:00.0Z;2021-12-31T23:59:00.0Z;Leisure;CursosTalleres
899;Talleres de poesía;DemoEM;899;;;0;0;2021-02-01T00:00:00.0Z;2021-12-31T23:59:00.0Z;Leisure;CursosTalleres
900;Talleres del Price;DemoEM;900;;;-3.698601359753866;40.40596423138839;2021-09-18T00:00:00.0Z;2021-12-18T23:59:00.0Z;Leisure;ProgramacionDestacadaAgendaCultura
901;Talleres para colegios (ESO y Bachillerato);DemoEM;901;;;-3.6958072892892155;40.391054868587204;2021-10-05T00:00:00.0Z;2022-10-04T23:59:00.0Z;Leisure;CursosTalleres
902;Talleres para colegios (Infantil y Primaria);DemoEM;902;;;-3.6958072892892155;40.391054868587204;2021-10-05T00:00:00.0Z;2022-07-06T23:59:00.0Z;Leisure;None
903;Tándem Narrativa;DemoEM;903;;;-3.621281890570377;40.39982891410407;2021-12-11T10:00:00.0Z;2021-12-11T23:59:00.0Z;Leisure;1ciudad21distritos
904;Tándem Teatro -;DemoEM;904;;;-3.621281890570377;40.39982891410407;2021-11-13T10:00:00.0Z;2021-11-13T23:59:00.0Z;Leisure;1ciudad21distritos
905;Tanto monta, monta tanto, Isabel como Fernando;DemoEM;905;Conferencia  Iván Salcedo. Historiador especializado en la Edad Media.;;-3.606140062044455;40.38281899948726;2021-11-17T19:00:00.0Z;2021-11-17T23:59:00.0Z;Leisure;ConferenciasColoquios
906;Te quitaré lo que más quieres;DemoEM;906;;;-3.6840615387926956;40.41906024374356;2021-11-21T18:00:00.0Z;2021-11-21T23:59:00.0Z;Leisure;Musica
